,Name,Location,Type,Website,Specialities,Size_least,Size_Max,Founded,Status,Followers on Stack Overflow,Link
57,Workleap,Montreal,Computer Software,https://www.workleap.com,"typescript, react-hooks, docker, kubernetes, azure, c#, .net-core, mongodb, domain-driven-design, event-sourcing, cqrs, solid-principles, redux, css-in-js, sass, framer-motion, azure-devops, git, powershell, node.js, yarnpkg, jestjs, babeljs, webpack, .net, teamcity, wpf, asp.net",201.0,500.0,2006.0,Private,122.0,https://stackoverflow.com/jobs/companies/workleap?c=OHJtsTiP4OlNI8dG&pg=6
58,Northwestern Medicine,Chicago,Healthcare,https://www.nm.org/,"azure, javascript, react, razor, sql, .net, powerbi, net, framework, core, c#, asp.net, web, services, api, wcf, rest, jquery, html, css, angular, ios, android, devops, agile, sitecore, sharepoint, databricks",10000.0,,,Public,50.0,https://stackoverflow.com/jobs/companies/northwestern-medicine?c=OQvpGpsY6k9Dp7m8&pg=6
59,Abbott,California; Bend; Orlando,Healthcare,https://www.abbott.com,"go, react-native, reactjs, amazon-web-services, c, c++, javascript, d3.js, nativescript, android, ios, python, java, kotlin, objective-c, swift, sql, oauth-2.0, openid, microservices, message-queue, kubernetes, docker, terraform, ansible, elastic-stack, infrastructure-as-code, security, cloud",10000.0,,1888.0,Public,181.0,https://stackoverflow.com/jobs/companies/abbott?c=OH3atdxbNtheGR44&pg=6
60,Google,Mountain View,"Android, Cloud Services, Internet Infrastructure",https://goo.gle/3DdfDhU,"java, javascript, cloud, c++, python, objective-c, android, machine-learning, go, rust, swift, angularjs, kotlin, data-structures, algorithm, artificial-intelligence, tensorflow, deep-learning",10000.0,,1998.0,Public,1800.0,https://stackoverflow.com/jobs/companies/google?c=9eoZRYLs2gCqYkfe&pg=7
61,EMBL-EBI (EMBL's European Bioinformatics Institute),Hinxton,"Big Data, Data Science, Life Sciences",https://www.ebi.ac.uk/careers,"javascript, java, angular, reactjs, node.js, python, scala, spring, apache-spark, drupal, wordpress, clickhouse, elasticsearch, lucene, mongodb, mysql, oracle, postgresql-9.1, solr, amazon-web-services, docker, google-cloud-platform, kubernetes, tomcat, github, gitlab, servicenow, jenkins",501.0,1000.0,1992.0,Public,42.0,https://stackoverflow.com/jobs/companies/embl-ebi-embls-european-bioinformatics-institute?c=OOQFylsqHVxYDJpm&pg=7
62,Siemens AG,München,Industrial Automation,https://www.siemens.com/global/en/company/jobs.html ,"python, c, java, c++, go, javascript, artificial-intelligence, amazon-web-services, azure, embedded-linux, rust, github, cicd, rest, http, security, industrial, iot, c#, node-red, mqtt, opc-ua, data-distribution-service, cloud, machine-learning, gitlab, kubernetes, vmware, docker, real-time, typescript, angular, reactjs",10000.0,,1847.0,,161.0,https://stackoverflow.com/jobs/companies/siemens-ag?c=OQZDfBAq9QVbhaKI&pg=7
63,Redgate Software,Cambridge,"Computer Software, Databases, DevOps",https://www.red-gate.com/,".net, sql, asp.net-mvc, java, agile, javascript, reactjs, c#, kubernetes, docker, typescript, dapr, ceph",201.0,500.0,1999.0,Private,121.0,https://stackoverflow.com/jobs/companies/redgate-software?c=1wKxyoXYgl52yDIc&pg=7
64,Amperity,London; Seattle; New York,Customer Data Platform,https://amperity.com/,"clojure, clojurescript, scala, node.js, apache-kafka, kubernetes, apache-spark, reactjs, python",201.0,500.0,2015.0,Private,30.0,https://stackoverflow.com/jobs/companies/amperity?c=ORS1FL0eF0iLrFFm&pg=7
65,Equinor,New Delhi; Hoàn Kiếm; Chao Yang Qu,"Energy & Utilities, Green Energy, Oil & Gas",https://www.equinor.com/,"javascript, typescript, c#, python, sql, java, bigdata, data-science, azure, devops, linux, windows, c++, c",10000.0,,1972.0,Private,21.0,https://stackoverflow.com/jobs/companies/equinor?c=ORFWfhm3rbZKirUk&pg=7
66,SMS plc,Doncaster; Pontprennau; Glasgow,"Energy & Utilities, Smart Grid, Smart Home",https://www.sms-plc.com,"java, javascript, amazon-web-services, c#, azure, python, sql, pandas, django, docker, git, numpy, flask, jenkins",1000.0,5000.0,1995.0,Public,77.0,https://stackoverflow.com/jobs/companies/sms-plc?c=OMZPZNNI5IDiJ7Hy&pg=7
67,Cloudflight,Cluj-Napoca; Wien; Wrocław,"Artificial Intelligence, Software Consulting, Software Development",https://www.cloudflight.io/en/career/,"kotlin, java, c++, c#, javascript, typescript, c, lua, python, bash, php, go, spring-boot, swagger, angular, reactjs, vue.js, mariadb, postgresql, mysql, rabbitmq, amazon-web-services, azure, google-cloud-platform, teamcity, docker, kubernetes, openshift, grafana",501.0,1000.0,,Private,156.0,https://stackoverflow.com/jobs/companies/cloudflight?c=OMduhTcZctpe8eFq&pg=7
68,Next ,Colombo; Leicester; Armthorpe,"Information Technology, Marketing, Retail",https://careers.next.co.uk/#en/sites/CX_3001/pages/26002/?lastSelectedFacet=CATEGORIES&selectedCategoriesFacet=300000002304727,"javascript, c#, node.js, .net, mainframe, reactjs, css, html, typescript, cypress, .net-core, azure, azure-cosmosdb, git, terraform, kubernetes, docker, cicd, databricks, sql, msbi, material-ui, azureservicebus, selenium",10000.0,,1982.0,Public,170.0,https://stackoverflow.com/jobs/companies/next?c=OLl5RJNaHk1DXJKM&pg=7
69,Federal Bureau of Investigation (FBI),Kapolei; Anchorage; San Francisco,"Cybersecurity, Government, Information Technology",https://fbijobs.gov/,"linux, amazon-ec2, nutanix, docker, hyper-v, python, java, asp.net, sql, c++, oracle, hadoop, javascript, html, css, matlab, r, splunk, arcgis, cyber-ark, palantir-foundry, sharepoint, tableau-api, php, ruby, perl, bash, puppet, chef-infra, jenkins, docker-compose, kubernetes, git",10000.0,,1908.0,Public,173.0,https://stackoverflow.com/jobs/companies/federal-bureau-of-investigation?c=OQ7ePsaBEHxB6FQ4&pg=7
70,WebBeds Tech,Bangkok; Dubai; Iași,"B2B Trade, Online Travel, Travel & Tourism",https://webbeds.jobsoid.com/,"php, .net, go, mysql, laravel, c#, oop, amazon-web-services, microservices, json, kubernetes, web-services",1000.0,5000.0,2013.0,Public,120.0,https://stackoverflow.com/jobs/companies/webbeds-tech?c=ONbVqhrTjwWjSlsA&pg=8
71,Caterpillar Inc.,Chennai; Bengaluru; Geneva,"Internet of Things, Manufacturing, Software Development / Engineering",http://www.caterpillar.com,"java, javascript, python, scala, sql, spring, spring-boot, reactjs, angular, akka, apache-kafka, apigee, rest, microservices, hadoop, apache-spark, bigdata, r, amazon-web-services, amazon-s3, amazon-ec2, aws-lambda, docker, kubernetes, amazon-emr, amazon-kinesis, amazon-dynamodb, amazon-redshift, snowflake-cloud-data-plat, amazon-aurora, amazon-rds, oracle, mysql, amazon-athena, aws-glue, elasticsearch, elk, salesforce, azure-devops, aem, adobe, e-commerce, aws-iot, machine-learning, computer-vision, natural-language-processi, nlp, iot, tableau-api, alteryx",10000.0,,,Public,310.0,https://stackoverflow.com/jobs/companies/caterpillar-inc?c=OIdH25qh8l7lAbCg&pg=8
