,Unnamed: 0,Name,Location,Type,Website,Specialities,Size_least,Size_Max,Founded,Status,Followers on Stack Overflow,Link,num_Type,num_Specialities,num_Location
15,15,Outfit7,Germasogeia;Xu Hui Qu;Chongwenmen Outer Residential District,"Digital Video Distribution,Mobile Game,Gaming",https://www.outfit7.com/?utm_source=paid&utm_medium=stackoverflow&utm_campaign=O7officialwebsite ,"swift,asset-pipeline,backend,visual-studio,java,jetbrains-ide,android,google-cloud-platform,iphone,c++,cloud,objective-c,kotlin,xcode,unity-game-engine,serverless,c#,quarkus,ios,rendering,opengl,optimization,animation,shader,android-studio",201.0,500.0,2009.0,Private,24.0,https://stackoverflow.com/jobs/companies/outfit7?c=OSmfeX7GIx4jjJ3W&pg=2,3,25,3
16,16,American Express.,Gurugram;Brighton;Bengaluru,"Financial Services,Finance,Financial Technology",https://www.americanexpress.com/en-us/careers/career-areas/technology/,".net,reactjs,react,postgresql,sql,javascript,zos,vert.x,chef,r,node.js,hbase,elasticsearch-dsl,elk,rest,agile,continuous-integration,spark,salesforce,c#,restful,linux,ibm,go,telemetry,unix,sql-server,machine-learning,redis,docker,mysql,jenkins,sas,nosql,css,ios,api,ai,hive,html,opentracing,amazon-web-services,golang,swift,hiveql,postgres,couchbase,hadoop,android,amazon-redshift,grpc,cassandra,aiml,swiftui,scala,tableau-api,pyspark,kafka,python,elasticsearch,apache-flink,terraform,open-telemetry,java,neo4j,graphql-js,prometheus,jakarta-ee,cloud,jaeger,kotlin,grafana,hadoop-yarn,kubernetes,mongodb,react-native,graphql",10000.0,,1850.0,Private,355.0,https://stackoverflow.com/jobs/companies/american-express?c=ONSepXdwAS0STCCc&pg=2,3,77,3
17,17,adjoe ,Hamburg,"Advertising Technology,Ad Tech,Mobile Application",http://www.adjoe.io,"golang,elasticsearch,swift,flutter,gitlab,bash,terraform,react,java,sentry,android,sql,typescript,docker,druid,grpc,aws,kotlin,mobile,mysql,gitlab-ci,kubernetes,apache-spark,devops,apache-kafka,git,mongodb,json,ios,protobuf,react-native,microservices,packer,go",51.0,200.0,2018.0,Private,192.0,https://stackoverflow.com/jobs/companies/adjoe?c=OMpzImRaqhIfhsqs&pg=2,3,34,1
18,18,Grab,Singapore;Petaling Jaya;Bengaluru,"Transportation,Information Technology,Technical Services",http://grab.careers,"golang,swift,bazel,javascript,kotlin",5000.0,10000.0,2012.0,Public,189.0,https://stackoverflow.com/jobs/companies/grab?c=OOgpgUvT2uCVc48g&pg=2,3,5,3
19,19,Equinix,No office location,Internet Infrastructure,http://eqix.it/4183V07,"api-design,cloud-native,azure,reactjs,bash,terraform,nats-streaming-server,java,postgresql,nfv,cicd,ansible,rust,google-cloud-platform,c++,cassandra,scrum,kubernetes,paas,spring-boot,rest,agile,git,nosql,c,mongodb,ipaas,sdn,ruby,cockroachdb,iaas,linux,saas,identity-management,amazon-web-services,python,go",10000.0,,1998.0,Public,82.0,https://stackoverflow.com/jobs/companies/equinix?c=ORhLok3GZznI00og&pg=2,1,37,1
20,20,intive,Białystok;București;Lublin,"Design,Computer Software,IT Consulting",https://intive.com/,"swift,ruby-on-rails,angular,autosar,azure,.net,jmeter,reactjs,postman,perl,java,php,rust,aspice,android,google-cloud-platform,sql,c++,typescript,javascript,docker,kotlin,mysql,r,selenium,jenkins,kubernetes,node.js,embedded,net,vue.js,rest,.net-core,nosql,c,cucumber,mongodb,c#,ruby,ios,react-native,ethernet,amazon-web-services,python,go",1000.0,5000.0,2016.0,Private,154.0,https://stackoverflow.com/jobs/companies/intive?c=OOKCQ6Dl61ot47wQ&pg=3,3,45,3
21,21,National Security Agency,Honolulu;Fort Meade;Augusta,"Federal Agencies,Cybersecurity,Signals Analysis",http://www.IntelligenceCareers.gov/NSA,"node.js,angular,c++,javascript,java,c",10000.0,,1952.0,Public,442.0,https://stackoverflow.com/jobs/companies/national-security-agency?c=EoExxmTsR2P48HzW&pg=3,3,6,3
22,22,Deloitte US-India offices,Gurugram;Kolkata;Kothaguda,"Technology Consulting,Software Development / Engineering,Information Technology",https://www2.deloitte.com/ui/en.html,"adobe,nlp,cybersecurity,azure,.net,google,sapui5,computer-vision,security,hybris,aws,abap,virtualization,blockchain,concur,sd,salesforce,fieldglass,scientist,aemcq,processing,ibm,peoplesoft,visualization,virtual,digital,ariba,plsql,bibw,rms,bpc,hardware,ui5,platform,machine,ems,microsoft,technology,artificial-intelligence,software,server,engagement,architect,erp,modelling,language,fiori,ssas,netsuite,ssrs,network,management,natural,ssis,realityvirtual,analytics,tokenization,engineer,sap,agents,augmented-reality,system,enovia,java,successfactors,hana,sharepoint,epm,cloud,s4,oracle,bigdata,deep-learning,augmented,ms-access,coupa,ruby-on-rails-4,angularjs,workday",10000.0,,,Private,217.0,https://stackoverflow.com/jobs/companies/deloitte-us-india-offices?c=OMTNhyYCtOtN9vP2&pg=3,3,79,3
23,23,Deloitte US,Honolulu;Pleasanton;San Francisco,"Software Development / Engineering,Consulting",https://www2.deloitte.com/us/en/pages/careers/articles/technology-jobs-deloitte.html?id=us:2el:3dp:stackofl22:awa:career:071822,"development,moq,azure,idam,.net,sap,visual-studio,css3,python-2.7,soa,db2,java,workflow,maven,cicd,azure-cosmosdb,php,jakarta-ee,jdbc,nunit,sql,cloud,proc-sql,.netc,javascript,webpack,wsinodejs,spring,alteryx,visual-c++,epic,apigee,mysql,jenkins,mean-stack,node.js,struts,chef-infra,devops,powerbi,mulesoft,vstsvisual,sail,junit,robotics,stored,appian,git,nosql,ant,html5,c#,boomi,salesforce,ios,layer,kong,artificial-intelligence,bpm,ssis,gradle,ado,tfs,database-design,data,python,puppet,workday",10000.0,,1845.0,Private,148.0,https://stackoverflow.com/jobs/companies/deloitte-us?c=OM1oRpyNYF6cZ0Uo&pg=3,2,68,3
24,24,Stack Overflow,London;New York,"Enterprise Software,Advertising",https://stackoverflow.com/company/work-here,"c#,redis,elasticsearch,javascript,jquery,asp.net-mvc,sql-server",501.0,1000.0,2008.0,Private,815.0,https://stackoverflow.com/jobs/companies/stack-overflow?c=62IeP5BU9xQoV2&pg=3,2,7,2
